id_produto,nome_produto,categoria,preco,fornecedor,peso_kg,estoque_disponivel,avaliacao_interna,ativo,data_cadastro_produto
PROD-0001,Smartphone 128GB,Eletronicos,2504.00,Shenzhen Connect Brasil,2.99,429,null,Nao,2024-04-10
PROD-0002,Smartphone 64GB,null,1906.00,Global Electronics Ltda,4.46,407,null,S,2018-07-23
PROD-0003,Smartphone 256GB,Eletronicos,3955.00,Global Electronics Ltda,0.83,29,null,Sim,2025-11-07
PROD-0004,Notebook Intel Core i5,Eletronicos,3359.00,Shenzhen Connect Brasil,null,217,null,Sim,2020-12-21
PROD-0005,Notebook Intel Core i7,Eletronicos,"R$ 3364,00",TechBrasil Distribuidora,3.77,271,null,1,2018-12-02
PROD-0006,Notebook Intel Core i3,Eletronicos,1631.00,Alpha Tech Importados,4.01,3,null,sim,2019-03-16
PROD-0007,Smart TV 50 Polegadas,Eletronicos,2319.00,Shenzhen Connect Brasil,1.63,459,null,S ,2018-09-16
PROD-0008,Smart TV 43 Polegadas,Eletronicos,1486.00,TechBrasil Distribuidora,1.95,0,null, N,2024-10-27
PROD-0009,Smart TV 55 Polegadas,Eletronicos,"R$ 3746,00",Global Electronics Ltda,2.8,459,null,S ,2024-02-04
PROD-0010,Smart TV 32 Polegadas,Eletronicos,"R$ 1327,00",Global Electronics Ltda,3.38,71,null,1,2020-10-23
PROD-0011,Tablet 10 Polegadas,Eletronicos,682.00,Alpha Tech Importados,4.98,102,null,sim,2020-04-05
PROD-0012,Tablet 8 Polegadas,Eletronicos,583.00,TechBrasil Distribuidora,2.84,348,null,N,2022-10-11
PROD-0013,Fone de Ouvido Bluetooth,Eletronicos,null,TechBrasil Distribuidora,0.84,90,null,S ,2025-11-08
PROD-0014,Fone de Ouvido com Fio,Eletronicos,90.00,Shenzhen Connect Brasil,1.42,388,null,S ,2024-03-26
PROD-0015,Headset Gamer,Eletronicos,359.00,Shenzhen Connect Brasil,1.35,274,null,SIM,2020-07-11
PROD-0016,Caixa de Som Bluetooth,Eletronicos,"R$ 534,00",Shenzhen Connect Brasil,4.2,37,null,sim,2022-10-14
PROD-0017,Caixa de Som Portátil,Eletronicos,110.00,Shenzhen Connect Brasil,2.29,422,null,SIM,2025-05-03
PROD-0018,Barra de Som,Eletronicos,1466.00,Alpha Tech Importados,1.92,262,null,S,2025-02-18
PROD-0019,Câmera Fotográfica Digital,Eletronicos,1509.00,Alpha Tech Importados,null,498,null,sim,2023-06-06
PROD-0020,Câmera de Segurança Wi-Fi,Eletronicos,494.00,Shenzhen Connect Brasil,2.95,152,null,S ,2023-08-06
PROD-0021,Projetor Full HD,Eletronicos,3607.00,Shenzhen Connect Brasil,1.32,null,null,1,2023-06-30
PROD-0022,Monitor 24 Polegadas,elet,1676.00,Shenzhen Connect Brasil,2.97,23,null,N,2022-04-13
PROD-0023,Monitor 27 Polegadas,Eletronicos, 2146.00,TechBrasil Distribuidora,4.95,49,null,1,2018-01-12
PROD-0024,Mouse Sem Fio,Eletronicos,325.00,Shenzhen Connect Brasil,3.49,348,null,N,2024-08-24
PROD-0025,Mouse Gamer,Eletronicos,254.00,Shenzhen Connect Brasil,3.13,29,null,S ,2025-06-27
PROD-0026,Teclado Mecânico,Eletronicos,501.00,TechBrasil Distribuidora,1.25,212,null,sim,2022-09-10
PROD-0027,Teclado sem Fio,Eletronicos,146.00,Shenzhen Connect Brasil,2.7,356,null,sim,2023-04-14
PROD-0028,Carregador Turbo,Eletronicos,163.00,Shenzhen Connect Brasil,2.48,388,null,SIM,2023-10-28
PROD-0029,Carregador Sem Fio,ELET,245.00,Global Electronics Ltda,0.32,81,null,S ,2022-09-27
PROD-0030,Película de Vidro,Eletronicos,52.00,Shenzhen Connect Brasil,2.66,null,null,N,2024-01-10
PROD-0031,Capinha de Celular,Eletronicos,80.00,Shenzhen Connect Brasil,0.34,90,null,0,2018-07-05
PROD-0032,Headset Bluetooth,Eletronicos,0,Alpha Tech Importados,2.21,71,null,1,2026-02-20
PROD-0033,HD Externo 1TB,Eletronicos, 369.00,Alpha Tech Importados,3.08,31,null,SIM,2022-11-19
PROD-0034,HD Externo 2TB,Eletronicos,806.00,Shenzhen Connect Brasil,4.5,307,null,SIM,2019-01-31
PROD-0035,Pen Drive 64GB,Eletronicos,147.00,Shenzhen Connect Brasil,2.58,353,null,S,2023-12-23
PROD-0036,Pen Drive 128GB,Eletronicos,151.00,Global Electronics Ltda,3.38,3,null,S ,2018-08-27
PROD-0037,Webcam Full HD,Eletronicos,252.00,Shenzhen Connect Brasil,0.33,387,null,S ,2021-03-07
PROD-0038,Impressora Multifuncional,null,1176.00,TechBrasil Distribuidora,0.68,0,null,NAO,2025-03-19
PROD-0039,Roteador Wi-Fi,Eletronicos,254.00,Shenzhen Connect Brasil,3.73,396,null,SIM,2020-09-07
PROD-0040,Drone com Câmera,eletronicos,2588.00,Shenzhen Connect Brasil,2.45,262,null,NAO,2022-01-27
PROD-0041,Console de Videogame,Eletronicos,4154.00,TechBrasil Distribuidora,4.74,247,null,sim,2020-10-31
PROD-0042,Controle Sem Fio,null,313.00,TechBrasil Distribuidora,0.54,35,null,S ,2024-12-23
PROD-0043,Aspirador Robô,Eletrônico, 1549.00,Alpha Tech Importados,4.67,null,null,1,2021-09-12
PROD-0044,Suporte para Notebook,null,153.00,Alpha Tech Importados,2.62,48,null,sim,2021-12-08
PROD-0045,Hub USB 7 Portas,Eletronicos,0,Shenzhen Connect Brasil,3.49,177,null,Sim,2019-02-21
PROD-0046,Adaptador HDMI,Eletronicos,112.00,Shenzhen Connect Brasil,4.49,66,null,1,2021-11-19
PROD-0047,Cabo USB-C 2m,null,59.00,TechBrasil Distribuidora,4.24,186,null,S ,2021-09-17
PROD-0048,Bateria Portátil 20000mAh,Eletronicos,0,Shenzhen Connect Brasil,0.75,493,null,S,2024-03-18
PROD-0049,Notebook Gamer,Eletronicos, 4182.00,Alpha Tech Importados,1.05,177,null,sim,2021-09-30
PROD-0050,Smart Watch,Eletronicos,1018.00,Alpha Tech Importados,3.18,443,null,NAO,2022-05-31
PROD-0051,Smartband Fitness,Eletronicos,504.00,Global Electronics Ltda,1.49,394,null,N,2023-04-23
PROD-0052,Impressora Térmica,ELETRONICOS,0,TechBrasil Distribuidora,2.76,384,null,S,2023-06-12
PROD-0053,SSD Externo 480GB,Eletronicos,310.00,Shenzhen Connect Brasil,3.78,203,null,S ,2021-02-16
PROD-0054,Microfone USB Condensador,Eletronicos,401.00,TechBrasil Distribuidora,2.14,25,null,1,2025-09-20
